aafkagh	to burst
tukaate	to get sick from eating incompatible foods (such as land greens and sea greens)
tukaghsiiq	short loop of rope holding harpoon head to shaft
tukaghta	tenfathom rope on a whaling harpoon attaching harpoon to first float
tukagh	to stamp one's feet; to dance
tukeghragh	to kick repeatedly with both feet (like a baby does)
tukegh	to brace with one's foot; to stretch a skin by dampening it and sitting on it holding the edge and pushing out with one's heel; to hatch (of egg)
tukeqagh	to shove or kick with one's foot
tukfighaq	storebought thing
tukfigh	to buy
tukfightugh	to give gifts to the parents of one's son's wife-to-be; to pay the bride-price
tukiitaa	to have no place to stay when in another town; to not have a host
tukmagh	to trample
tukrugsigh	to allow to dry
tukrug	to harden by drying
tukrukaag	to be somewhat hard
tukughaq	ankle; bottom part of pants; back flipper joint
tukuqe	to arrive as a guest; to be a guest of (him/her))
tukuste	to flex or tense all of one's muscles
tulaagh	to put splint on something broken
tulag	to slash; to cut
tulughagh	to nod when sitting and falling asleep
tulugh	to hone, whet or sharpen
tulughyak	canine tooth
tuluumsiighte	to take a nap
tumaaghite	to get or have a lot of tracks or footprints
tumagreghagh	to pack for a trip
tumag	to taste bitter
tumighqaate	to return to St. Lawrence Is. from Chukotka or vice-versa
tumigte	to return to St. Lawrence Island from Chukotka or vice-versa
tunallagute	to fall on one's buttocks; 
tungae	immediate vicinity; close relative but outside immediate family; area toward
tungangigh	to come near to
tungangiite	to be in line with something; to line up with something
tungik	ivory piece between head and shaft of whaling harpoon where it fits into the giimaq (socket)
tunglu	brokenup ice that has moved in next to shore thus obstructing all travel
tungqaghaghte	to hit close to the mark (literally or figuratively)
tungsigh	to ask for
Tungtum Qalghighviga	October
tungtuqu	to hunt caribou
tungunghaqe	to sleep deeply and soundly
tungu	to stare vacantly into space; to daydream
tungzighaq	rough border area of ice field onto which it is hard to pull game; barrier that obstructs
tungzigh	to flare out; to fan out
tunqughta 	contributor; philanthropist; sponsor (monetary); funder or funding agency
tunqugh	to donate generously
tunupightagh	to keep one’s back turned to others
tunuqaraak	small room at the back of the house entered from outside and used for working or storage
tunuqin	makeshift structure at rear of house; strip of reddyed polar bear skin sewn onto back of skin pants
tunusugkugh	to hit on the back of head
tunute	to turn away; to turn one's back on (him)
tunuvagh	to go back; to take back
tupagpagtagh	to have convulsions; to jerk one's body in sleep
tupag, tupagpag-	to get startled
tupeqaag, tupeqwaag-	to be clumsy or awkward or stiff
tupnguugh	to move from natural environment due to being bothered or from excessive traffic nearby (of wild animal)
tuqaallngwaaghagh	to stand motionless; to lose consciousness
tuqaa	to feel "high"; to eclipse (of moon or sun)
tuqlughagh	to call loudly
tuqlughragh	to call repeatedly
tuqlugh	to call out to; to telephone
tuqufkagh	to knock out
tuquma	to be dead
tuqumsiyug	to have a close brush with death; to almost die
tuqunagh	to be poisonous
tuquraag	to knock out
tuqute	to kill
Tuqutiighvik	September; October
tuqutngwaagh	to laugh heartily
tuqu	to die; to ferment
tuquuqagh	to drive nail into (it)
tuquyug	to be deathly ill
tusaqesighwaagh	to ignore it when told to do something acting as though one didn’t heard
tusaqe	to hear and comprehend
tusaqneghllug	to misunderstand; to hear incorrectly
tusigagh	to attend a gathering
tusigalliqe	to be mischievous
tusigate	to be comical, witty, or entertaining
tusineq	hairless area on either side of head at top of forehead
tusite	to inform (him)
tusugniite	to have no news
tuteg	to get side-by-side with; to get parallel to
tutemqaq	porch; stepstool
tutmagh	to step several times; to walk all over something; to tread upon
tutmaghwaagh	to search for roots stored by mice in underground caches by stepping around feeling for hollow spots beneath the ground's surface
tuufqaghtagh	to eat quickly
tuufqagh	to smoke while inhaling the smoke and breathing heavily
tuufte	to swallow something accidently; to choke on something; to have hiccups
tuugkaq	ivory; toggling harpoon head
tuugtaq	walrus hide and meat ball (for storage)
tuugte	to bundle securely; to make walrus hide into a ball by putting holes around the edge and drawing a string tightly through it; to tighten a parka hood around the face
tuumke	to make a stop for
tuumte	to follow; to track; to follow a path in life
tuune	to give
tuungsagte	to come near; to approach
tuusaq	step; stool; whale vertebra used as a step; block at bottom of pole supporting roof of the traditional domeshaped house, the mangteghapik (q.v.)
tuuslagh	to be hard of hearing; to be deaf
tuusliite	to hear well
tuutaqu	to step lightly and repeatedly; for a gentle rain to fall
tuute	to step on; to put a foot on; to land on the ground; to fall (rain); to clean a skin by laying it on the snow and stepping on it; to claim
tuutneq 	longitudinal stringer nearest keel in bentrib boat; chine stringer in flat-bottom boat; longitudinal brace of the kayak’s frame; triangle-shaped tatoo on the cheek near corner of mouth; hole for labret 
tuuymig	to carry on one’s shoulder(s); to nudge with shoulder
tuvghaq	hunter out on the ice (in contrast to one hunting by boat); dependable person; reliable partner
tuyapegtagh, tuyepegtagh-	to have a tremor
tuya	to bob up and down; to throb; to shake with suppressed laughter; to shiver
tuyeftu	to be broad-shouldered
tuyelliqe	to have aching shoulders
tuyepgha	to jolt (boat, sled, wheeled vehicle, plane)
tuyugh	to send; to go to join a boat crew
uflughaagh	to repeatedly run one's hand over (it)
uflugh	to run one's hand or fingers over (it)
ufsug	to shake or brush off dirt or snow
ufsugun	stick used to knock snow or dirt off of garment, boots or boats; snowbeater
ufsugutaq	stick used to knock snow or dirt off of garment, boots or boats; snowbeater
ufsulqutagh	to flutter
ugate	to move (including where water exits to ocean)
ughhaaqghun	inset piece to enlarge a garment
ughhe	to urinate
ughleghiigh	to work very hard; to suffer anguish
ughugsigh	to thaw (it); to warm oneself
ughug	to melt; to thaw; to warm up
ughumaaghte	to perspire; to sweat
ughumaangllagh	to work up a sweat
ughunqightughte	for there to be thawed patches
ughuun	melting ice field in spring, with surface elevations alternating with holes through to sea below
ughvughqefik	place to take a bath; bathroom
ughvughqe	to bathe
ughvugh	to rinse; to wash one’s body
ughvuneq	chunks of ice that loosen and float up to the surface from underneath a field of ice in spring
ughyugh	to spit (on); for water to seep out of ice
ughyuneq	ice shard; chalk; limestone; white excrescence on tundra
ughyuqaghtagh	to spray; to spill
ughyuusiq	spittoon
ugighhe	to maul; to fight (of dogs)
ugighhniigh	to growl; to snarl
ugighhughtaa	to fight viciously
ugighsagh	to be fierce
ugiigh	to get a husband; to get married (of a woman)
ugini	to roar; to growl
ugiyulek	woman who is said to be married to a dead man's spirit which provides for her
ugkelli	to cut meat into pieces sized for cooking 
uglafqe	to get confused; to scatter; to separate into parts (as when butchering a carcass)
uglaghi	to increase in number; to multiply; to become more
uglagh	to be many; to be numerous; to be much
uglaqaghtagh	to acquire lots of something
uglave	to spread out; to disperse
uglavniqe	to be overwhelmed by a large number (of tasks to be done, people, etc.)
uglavyug	to be overwhelmed by a large number (of tasks to be done, people, etc.)
ugmelli	to become or make thinner
ugpegh	to believe; to be or become a Christian; to have faith
ugpeqe	to believe (it or him)
uguma	to be boiling
ugumiite	to be angry at
ugumikeraagh	to reject at play; to treat badly
uguminqe	to be very angry
ugumisaate	to stir up anger against
uguqe	to burn one's flesh
uguqnagh	to be burning hot
ugusaghqaq	something that is to be cooked thoroughly
ugute	to get done (in cooking); to cook or be cooked
ugu	to get irritated (of skin); to get burnt; to ripen
ukaliq	one on this side; person at the bottom of the social scale
ukamaataq	towline
ukamagh	to tow a boat by walking along the shore
ukapighqaagh	to move closer
ukatghute	to miss the mark by one's shot falling short; to undershoot
uka	this way; toward here
ukavagh	to come nearer; to approach; to lessen in value; to be demoted
ukazighniigh, ukazighyagh-	to hunt rabbits (hare)
ukifkagh	to puncture
ukigagh	to go up and down a cliff on a rope, especially when gathering eggs
ukig	to go down; to descend (an incline)
ukini	to sew
ukiqrugh	to get lots of holes
ukiqute	to poke through or show through by making holes in what covers it
ukistagh	to use an ice pick (spud)
ukite	to make hole in (it); to pierce
uki	to get a hole
ukivagh	to approach
ukmangigh	to clean
ukmangite	to be clean; to be immaculate
uksaaghte	to spend the autumn
uksaagh	to be autumn
uksaaqestagh	for autumn to begin
uksughte	to spend the winter
uksugh	to be winter
uksuqaate	to be caught by winter
ukughhite	to have recently married and moved in with one's husband's family
ulaagh	to align so that (it -- narrow object) can enter an opening; to turn edgewise or on its side
ulag	to cut with a woman's semi-lunar knife
ulakitaagh	to tag; to play tag
ulangkiiq	parting ritual of young people where each tries to be the last to touch the other
ulape	to exercise physically outdoors; to strengthen oneself
ulave	to spread out; to disperse
ulevaghaghte	to be fully laden; to load full up
uleve	to flood; to overflow
ulghaaghaghaq	young sea lion (Eumetopias jubatus)
ulghaaq	sea lion (Eumetopias jubatus)
ulig	to cover with a blanket
uliigh	to put on hunting boots
Ulimaghista	God; the Creator
ulimanqegsagh	to redo; to correct
ulimasiq	tool
ulima	to make; to build; to carve; to fix
ulimavik	workshop; factory
ullegh	to fall over
ullghitagh	to roll
ulmighte	to pull back the bowstring preparatory to firing an arrow
ulpegte, ulpig-	to run with all one's might
ulug	to soften skin, paper, etc., by flexing it with a circular motion of the hands
ululiqe, ululliqe-	to be sarcastic; to speak inappropriately
ulungaaq2	stone knife
ulungigh	to become silent; to stop talking
ulungite	to be silent; to be speechless
uluraaghinagh	to communicate orally
ulu	tongue; language; interpreter; translator
uluzik	tongue of whale
umegte	to get stormy
umeg	to close; to close door; to shut; for weather to close in
umek	lid; cover; door; stopper
umsighqe	to mend; to sew up
umughak	ice thick enough to walk on
umughqaa	to experience sleep paralysis (a condition where one feels paralyzed upon wakening or partially wakening); to experience paresthesia ("pins and needles" feeling in part of the body); to thicken
